Algo;Problème;Seed;K;N;Cout - BFS;Cout - DFS;Cout - UCS;Cout - GFS;Cout - Astar
bfs;dum;100;2;1000;4496,009149;4198,655957;1172,894527;23311,45199;1172,894527
bfs;dum;100;2;2000;5766,01857;296305,7455;5766,01857;11379,23831;5766,01857
bfs;dum;100;2;3000;5545,156411;112785,93;4103,633748;4103,633748;4103,633748
bfs;dum;100;2;4000;5176,54922;647195,216;5176,54922;16207,05753;5176,54922
bfs;dum;100;2;5000;4262,392881;958779,6048;4262,392881;48504,53206;4262,392881
bfs;dum;100;2;6000;3764,166871;1560209,519;3764,166871;8347,505635;3764,166871
bfs;dum;100;2;7000;6055,722337;1206695,23;6055,722337;43406,53623;6055,722337
bfs;dum;100;2;8000;8319,599149;1121969,462;7097,834822;38534,70384;7097,834822
bfs;dum;100;2;9000;6995,063351;1801226,409;6719,862549;39363,88438;6719,862549
bfs;dum;100;2;10000;7321,83207;1149843,171;6660,413284;25966,85407;6660,413284
;;;;;;;;;
Algo;Problème;Seed;K;N;Temps - BFS;Temps - DFS;Temps - UCS;Temps - GFS;Temps - Astar
dfs;dum;100;2;1000;79;7062;25754;63;6989
dfs;dum;100;2;2000;227;6735;41535;250;13294
dfs;dum;100;2;3000;449;31564;11890;16;2884
dfs;dum;100;2;4000;1144;24327;45426;560;10966
dfs;dum;100;2;5000;89;27335;14974;2266;3719
dfs;dum;100;2;6000;202;61014;18066;2881;2645
dfs;dum;100;2;7000;5550;40378;182818;9594;50891
dfs;dum;100;2;8000;10624;34572;267296;6430;124175
dfs;dum;100;2;9000;9155;71847;267673;3807;119655
dfs;dum;100;2;10000;18812;286049;228762;44297;91935
;;;;;;;;;
Algo;Problème;Seed;N;K;;;;;
ucs;dum;100;1000;2;;;;;
ucs;dum;100;2000;2;;;;;
ucs;dum;100;3000;2;;;;;
ucs;dum;100;4000;2;;;;;
ucs;dum;100;5000;2;;;;;
ucs;dum;100;6000;2;;;;;
ucs;dum;100;7000;2;;;;;
ucs;dum;100;8000;2;;;;;
ucs;dum;100;9000;2;;;;;
ucs;dum;100;10000;2;;;;;
;;;;;;;;;
Algo;Problème;Seed;N;K;;;;;
gfs;dum;100;1000;2;;;;;
gfs;dum;100;2000;2;;;;;
gfs;dum;100;3000;2;;;;;
gfs;dum;100;4000;2;;;;;
gfs;dum;100;5000;2;;;;;
gfs;dum;100;6000;2;;;;;
gfs;dum;100;7000;2;;;;;
gfs;dum;100;8000;2;;;;;
gfs;dum;100;9000;2;;;;;
gfs;dum;100;10000;2;;;;;
;;;;;;;;;
Algo;Problème;Seed;N;K;;;;;
astar;dum;100;1000;2;;;;;
astar;dum;100;2000;2;;;;;
astar;dum;100;3000;2;;;;;
astar;dum;100;4000;2;;;;;
astar;dum;100;5000;2;;;;;
astar;dum;100;6000;2;;;;;
astar;dum;100;7000;2;;;;;
astar;dum;100;8000;2;;;;;
astar;dum;100;9000;2;;;;;
astar;dum;100;10000;2;;;;;
